year,CO2
1850,285.2
1851,285.1
1852,285
1853,285
1854,284.9
1855,285.1
1856,285.4
1857,285.6
1858,285.9
1859,286.1
1860,286.4
1861,286.6
1862,286.7
1863,286.8
1864,286.9
1865,287.1
1866,287.2
1867,287.3
1868,287.4
1869,287.5
1870,287.7
1871,287.9
1872,288
1873,288.2
1874,288.4
1875,288.6
1876,288.7
1877,288.9
1878,289.5
1879,290.1
1880,290.8
1881,291.4
1882,292
1883,292.5
1884,292.9
1885,293.3
1886,293.8
1887,294
1888,294.1
1889,294.2
1890,294.4
1891,294.6
1892,294.8
1893,294.7
1894,294.8
1895,294.8
1896,294.9
1897,294.9
1898,294.9
1899,295.3
1900,295.7
1901,296.2
1902,296.6
1903,297
1904,297.5
1905,298
1906,298.4
1907,298.8
1908,299.3
1909,299.7
1910,300.1
1911,300.6
1912,301
1913,301.3
1914,301.4
1915,301.6
1916,302
1917,302.4
1918,302.8
1919,303
1920,303.4
1921,303.7
1922,304.1
1923,304.5
1924,304.9
1925,305.3
1926,305.8
1927,306.2
1928,306.6
1929,307.2
1930,307.5
1931,308
1932,308.3
1933,308.9
1934,309.3
1935,309.7
1936,310.1
1937,310.6
1938,311
1939,311.2
1940,311.3
1941,311
1942,310.7
1943,310.5
1944,310.2
1945,310.3
1946,310.3
1947,310.4
1948,310.5
1949,310.9
1950,311.3
1951,311.8
1952,312.2
1953,312.6
1954,313.2
1955,313.7
1956,314.3
1957,314.8
1958,315.34
1959,316.18
1960,317.07
1961,317.73
1962,318.43
1963,319.08
1964,319.65
1965,320.23
1966,321.59
1967,322.31
1968,323.04
1969,324.23
1970,325.54
1971,326.42
1972,327.45
1973,329.43
1974,330.21
1975,331.36
1976,331.92
1977,333.73
1978,335.42
1979,337.1
1980,338.99
1981,340.36
1982,341.57
1983,342.53
1984,344.24
1985,345.72
1986,347.15
1987,348.93
1988,351.47
1989,353.15
1990,354.29
1991,355.68
1992,356.42
1993,357.13
1994,358.61
1995,360.67
1996,362.58
1997,363.48
1998,366.27
1999,368.38
2000.042,369.29
2000.125,369.55
2000.208,370.6
2000.292,371.82
2000.375,371.58
2000.458,371.7
2000.542,369.86
2000.625,368.13
2000.708,367
2000.792,367.03
2000.875,368.37
2000.958,369.67
2001.042,370.59
2001.125,371.51
2001.208,372.43
2001.292,373.37
2001.375,373.85
2001.458,373.22
2001.542,371.5
2001.625,369.61
2001.708,368.18
2001.792,368.45
2001.875,369.76
2001.958,371.24
2002.042,372.53
2002.125,373.2
2002.208,374.12
2002.292,375.02
2002.375,375.76
2002.458,375.52
2002.542,374.01
2002.625,371.85
2002.708,370.75
2002.792,370.55
2002.875,372.25
2002.958,373.79
2003.042,374.88
2003.125,375.64
2003.208,376.45
2003.292,377.73
2003.375,378.6
2003.458,378.28
2003.542,376.7
2003.625,374.38
2003.708,373.17
2003.792,373.15
2003.875,374.66
2003.958,375.99
2004.042,377
2004.125,377.87
2004.208,378.88
2004.292,380.35
2004.375,380.62
2004.458,379.69
2004.542,377.47
2004.625,376.01
2004.708,374.25
2004.792,374.46
2004.875,376.16
2004.958,377.51
2005.042,378.46
2005.125,379.73
2005.208,380.77
2005.292,382.29
2005.375,382.45
2005.458,382.21
2005.542,380.74
2005.625,378.74
2005.708,376.7
2005.792,377
2005.875,378.35
2005.958,380.11
2006.042,381.38
2006.125,382.2
2006.208,382.67
2006.292,384.61
2006.375,385.03
2006.458,384.05
2006.542,382.46
2006.625,380.41
2006.708,378.85
2006.792,379.13
2006.875,380.15
2006.958,381.82
2007.042,382.89
2007.125,383.9
2007.208,384.58
2007.292,386.5
2007.375,386.56
2007.458,386.1
2007.542,384.5
2007.625,381.99
2007.708,380.96
2007.792,381.12
2007.875,382.45
2007.958,383.94
2008.042,385.52
2008.125,385.82
2008.208,386.03
2008.292,387.21
2008.375,388.54
2008.458,387.76
2008.542,386.37
2008.625,384.09
2008.708,383.18
2008.792,382.99
2008.875,384.19
2008.958,385.56
2009.042,386.94
2009.125,387.48
2009.208,388.82
2009.292,389.55
2009.375,390.14
2009.458,389.48
2009.542,388.03
2009.625,386.11
2009.708,384.74
2009.792,384.43
2009.875,386.02
2009.958,387.42
2010.042,388.71
2010.125,390.2
2010.208,391.17
2010.292,392.46
2010.375,393
2010.458,392.15
2010.542,390.2
2010.625,388.35
2010.708,386.85
2010.792,387.24
2010.875,388.67
2010.958,389.79
2011.042,391.33
2011.125,391.86
2011.208,392.6
2011.292,393.25
2011.375,394.19
2011.458,393.74
2011.542,392.51
2011.625,390.13
2011.708,389.08
2011.792,389
2011.875,390.28
2011.958,391.86
2012.042,393.12
2012.125,393.86
2012.208,394.4
2012.292,396.18
2012.375,396.74
2012.458,395.71
2012.542,394.36
2012.625,392.39
2012.708,391.11
2012.792,391.05
2012.875,392.98
2012.958,394.34
2013.042,395.55
2013.125,396.8
2013.208,397.43
2013.292,398.41
2013.375,399.78
2013.458,398.6
2013.542,397.32
2013.625,395.2
2013.708,393.45
2013.792,393.7
2013.875,395.16
2013.958,396.84
2014.042,397.85
2014.125,398.01
2014.208,399.77
2014.292,401.38
2014.375,401.78
2014.458,401.25
2014.542,399.1
2014.625,397.03
2014.708,395.38
2014.792,396.03
2014.875,397.28
2014.958,398.91
2015.042,399.98
2015.125,400.28
2015.208,401.54
2015.292,403.28
2015.375,403.96
2015.458,402.8
2015.542,401.31
2015.625,398.93
2015.708,397.63
2015.792,398.29
2015.875,400.16
2015.958,401.85
2016.042,402.56
2016.125,404.12
2016.208,404.87
2016.292,407.45
2016.375,407.72
2016.458,406.83
2016.542,404.41
2016.625,402.27
2016.708,401.05
2016.792,401.59
2016.875,403.55
2016.958,404.45
2017.042,406.17
2017.125,406.46
2017.208,407.22
2017.292,409.04
2017.375,409.69
2017.458,408.88
2017.542,407.12
2017.625,405.13
2017.708,403.37
2017.792,403.63
2017.875,405.12
2017.958,406.81
2018.042,407.96
2018.125,408.32
2018.208,409.41
2018.292,410.24
2018.375,411.24
2018.458,410.79
2018.542,408.71
2018.625,406.99
2018.708,405.51
2018.792,406
2018.875,408.02
2018.958,409.07
2019.042,410.83
2019.125,411.75
2019.208,411.97
2019.292,413.33
2019.375,414.64
2019.458,413.93
2019.542,411.74
2019.625,409.95
2019.708,408.54
2019.792,408.52
2019.875,410.25
2019.958,411.76
2020.042,413.39
2020.125,414.11
2020.208,414.51
2020.292,416.21
2020.375,417.07
2020.458,416.39
